"","grid","pop","ind","lon","lat"
"276","lyn.d3","lyn",6,-70.8567085420718,42.543714100411
"277","lyn.d3","lyn",7,-70.8566842148419,42.5437141243706
"278","lyn.d3","lyn",8,-70.8566842681042,42.5437320497801
"279","lyn.d3","lyn",9,-70.856684214814,42.5437499751896
"280","lyn.d3","lyn",10,-70.8567085420578,42.5437499991647
"281","lyn.d3","lyn",11,-70.8567329644382,42.5437500542074
"282","lyn.d3","lyn",12,-70.8567573868185,42.5437499991647
"283","lyn.d3","lyn",13,-70.8567573126052,42.5437320497879
"284","lyn.d3","lyn",14,-70.8567329644382,42.5437320497905
"285","lyn.d3","lyn",15,-70.8567086162712,42.5437320497879
"286","lyn.d2","lyn",1,-70.8569752319015,42.5436739502951
"287","lyn.d2","lyn",2,-70.8569751786114,42.5436560248854
"288","lyn.d2","lyn",3,-70.8569752318736,42.5436380994756
"289","lyn.d2","lyn",4,-70.8569509046732,42.5436380755161
"290","lyn.d2","lyn",5,-70.8569264823365,42.5436380204785
"291","lyn.d2","lyn",6,-70.8569020599998,42.5436380755161
"292","lyn.d2","lyn",7,-70.8568777327993,42.5436380994756
"293","lyn.d2","lyn",8,-70.8568777860616,42.5436560248854
"294","lyn.d2","lyn",9,-70.8568777327714,42.5436739502951
"295","lyn.d2","lyn",10,-70.8569020599858,42.5436739742702
"296","lyn.d2","lyn",11,-70.8569264823365,42.5436740293129
"297","lyn.d2","lyn",12,-70.8569509046872,42.5436739742702
"298","lyn.d2","lyn",13,-70.8569508304739,42.5436560248932
"299","lyn.d2","lyn",14,-70.8569264823365,42.5436560248958
"300","lyn.d2","lyn",15,-70.856902134199,42.5436560248932
"301","lyn.d1","lyn",1,-70.8571687495059,42.5435979253996
"302","lyn.d1","lyn",2,-70.8571686962158,42.5435799999897
"303","lyn.d1","lyn",3,-70.857168749478,42.5435620745796
"304","lyn.d1","lyn",4,-70.8571444223071,42.5435620506201
"305","lyn.d1","lyn",5,-70.85712,42.5435619955825
"306","lyn.d1","lyn",6,-70.8570955776929,42.5435620506201
"307","lyn.d1","lyn",7,-70.857071250522,42.5435620745796
"308","lyn.d1","lyn",8,-70.8570713037842,42.5435799999897
"309","lyn.d1","lyn",9,-70.8570712504941,42.5435979253996
"310","lyn.d1","lyn",10,-70.8570955776789,42.5435979493747
"311","lyn.d1","lyn",11,-70.85712,42.5435980044174
"312","lyn.d1","lyn",12,-70.8571444223211,42.5435979493747
"313","lyn.d1","lyn",13,-70.8571443481079,42.5435799999974
"314","lyn.d1","lyn",14,-70.85712,42.54358
"315","lyn.d1","lyn",15,-70.8570956518921,42.5435799999974
"316","lyn.s1","lyn",1,-70.8582087504551,42.5448179253958
"317","lyn.s1","lyn",2,-70.858208697164,42.5447999999897
"318","lyn.s1","lyn",3,-70.8582087504272,42.5447820745834
"319","lyn.s1","lyn",4,-70.8581844227826,42.5447820506239
"320","lyn.s1","lyn",5,-70.85816,42.5447819955864
"321","lyn.s1","lyn",6,-70.8581355772174,42.5447820506239
"322","lyn.s1","lyn",7,-70.8581112495728,42.5447820745834
"323","lyn.s1","lyn",8,-70.858111302836,42.5447999999897
"324","lyn.s1","lyn",9,-70.8581112495449,42.5448179253958
"325","lyn.s1","lyn",10,-70.8581355772034,42.5448179493708
"326","lyn.s1","lyn",11,-70.85816,42.5448180044136
"327","lyn.s1","lyn",12,-70.8581844227966,42.5448179493708
"328","lyn.s1","lyn",13,-70.858184348582,42.5447999999974
"329","lyn.s1","lyn",14,-70.85816,42.5448
"330","lyn.s1","lyn",15,-70.858135651418,42.5447999999974
"331","lyn.s2","lyn",1,-70.8580152290828,42.544893950275
"332","lyn.s2","lyn",2,-70.8580151757916,42.5448760248691
"333","lyn.s2","lyn",3,-70.8580152290549,42.5448580994632
"334","lyn.s2","lyn",4,-70.8579909013808,42.5448580755036
"335","lyn.s2","lyn",5,-70.8579664785686,42.5448580204661
"336","lyn.s2","lyn",6,-70.8579420557563,42.5448580755036
"337","lyn.s2","lyn",7,-70.8579177280822,42.5448580994632
"338","lyn.s2","lyn",8,-70.8579177813455,42.5448760248691
"339","lyn.s2","lyn",9,-70.8579177280543,42.544893950275
"340","lyn.s2","lyn",10,-70.8579420557423,42.5448939742501
"341","lyn.s2","lyn",11,-70.8579664785686,42.5448940292928
"342","lyn.s2","lyn",12,-70.8579909013948,42.5448939742501
"343","lyn.s2","lyn",13,-70.8579908271801,42.5448760248769
"344","lyn.s2","lyn",14,-70.8579664785686,42.5448760248795
"345","lyn.s2","lyn",15,-70.857942129957,42.5448760248769
"346","lyn.s3","lyn",1,-70.8578217074757,42.5449699751533
"347","lyn.s3","lyn",2,-70.8578216541844,42.5449520497476
"348","lyn.s3","lyn",3,-70.8578217074478,42.5449341243419
"349","lyn.s3","lyn",4,-70.8577973797442,42.5449341003824
"350","lyn.s3","lyn",5,-70.8577729569023,42.5449340453448
"351","lyn.s3","lyn",6,-70.8577485340604,42.5449341003824
"352","lyn.s3","lyn",7,-70.8577242063568,42.5449341243419
"353","lyn.s3","lyn",8,-70.8577242596202,42.5449520497476
"354","lyn.s3","lyn",9,-70.8577242063289,42.5449699751533
"355","lyn.s3","lyn",10,-70.8577485340464,42.5449699991283
"356","lyn.s3","lyn",11,-70.8577729569023,42.5449700541711
"357","lyn.s3","lyn",12,-70.8577973797582,42.5449699991283
"358","lyn.s3","lyn",13,-70.8577973055434,42.5449520497554
"359","lyn.s3","lyn",14,-70.8577729569023,42.544952049758
"360","lyn.s3","lyn",15,-70.8577486082612,42.5449520497554
